col_no,pos_fr_rd,treatment,time_point,date,action,reorg_or_removed_box,numerical_trt,gross_wt_lbs,bip_style_fob,hobo_no,hobo_sensor_status_30_Sep,logger_connection_issue,end_of_file_issue,rh_sensor_propolis,water_amt_0-3,oct1_feeder_type,cups_fed,aec_towel_perc_remaining,time,q_status,q_event,brd_pattern,remove,notes,col_hist,location_on_9-19,date_brd_inspection_wax_virus,date_brd_exam,viral_sample_tf,wax_sample_tf,alc_sample_tf,alc_jar_no,mites_recov_3_washes,extra_mites_by_2-clear_rinses,mites_recov_total,gm_wt_100_bees,gm_wt_total_bee_sample,est_bee_num_by_wt,perc_phoretic_mites_by_weight,date_brd_pattern_assessed,disorders,dr_brood_exam_tf,dr_infested_num,dr_exhumed_num,wk_brood_exam_tf,infested_in_first_200_cells_num,extra_wk_infested_num,extra_wk_exhumed_num,dwv_num_sides_obs,dwv_tf,cdb_num_sides_obs,prev_bees_tot_sides,prev_cap_brd_tot_sides,prev_dr_capbrd_tot_sides,prev_honey_tot_sides,prev_pollen_tot_sides,prev_wk_capbrd_tot_sides,cap_brd_tot_sides_rm,dr_capbrd_tot_sides_rm,honey_tot_sides_removed,pollen_tot_sides_removed,bees_tot_sides,cap_brd_tot_sides,dr_capbrd_tot_sides,honey_tot_sides,pollen_tot_sides,wk_capbrd_tot_sides,est_sides_brood_incl_open,est_sides_used_space,est_sides_free_space,9.23_honey_addition_sides,9.23_pollen_addition_sides,bees_num,dr_capbrd_cells_num,revised_honey_tot_sides,revised_pollen_tot_sides,wrk_capbrd_cells_num,phoretic_mites_num_estimate,dr_cells_infested_estimate,wk_cells_infested_estimate,mites_total_estimate,sides_honey_short_of_9,lbs_to_feed,gallons_to_feed_total_wrong_estimate,gals_fed_round_1,lbs_fed_round_1,sides_added_round_1,new_sides_total,sides_honey_short_of_12,lbs_per_side,lbs_to_feed_round_2,gals_to_feed_round_2
D11,11,Apivar,1,18-Sep,Pre-assess,,,,,,,,,,,,,,9:35,QS-B,,3,,,Richland pkg,Richland,,,T,T,T,5,65,0,65,15.4714,57.8095,373.7,17.4,,,,25,50,T,38,,,1,1,0,,,,,,,,,,,7.775,6.65,0.125,10.15,0.3,6.525,,,,,,9446.63,269.50,10.15,0.30,21819.60,1643.31,134.75,4145.72,5923.79,,,,,,,,,,,
D25,12,Apivar,1,18-Sep,Pre-assess,,,,,,,,,,,,,,9:45,QS-B,,2,,,Richland pkg,Richland,,,T,T,T,6,29,1,30,17.6949,63.2824,357.6,8.4,23-Sep,,,NA,NA,T,16,,,1,0,3,,,,,,,,,,,6.225,5.525,0.025,9.3,0.15,5.5,,,,,,7563.38,53.90,9.30,0.15,18392.00,634.46,,1471.36,2105.82,,,,,,,,,,,
D13,13,Apiguard_Api,1,18-Sep,Pre-assess,,,,,,,,,,,,,,16:51,QR,,2.5,,,Richland pkg,Richland,,,T,T,T,37,69,1,70,19.0629,50.1439,263.0,26.6,23-Sep,,,NA,NA,T,44,,,1,1,0,,,,,,,,,,,4.825,5.125,0,9.3,1.35,5.125,,,,,,5862.38,0.00,9.30,1.35,17138.00,1560.06,,3770.36,5330.42,,,,,,,,,,,
N5,14,AEC,1,18-Sep,Pre-assess,,,,,,,,,,,,,,16:43,QR,,2.5,,Maybe reverse boxes,Richland pkg,Richland,,,T,T,T,36,14,0,14,20.5346,58.3936,284.4,4.9,,,,NA,NA,T,7,,,2,0,2,,,,,,,,,,,4.75,4.325,0.025,7.25,0.15,4.3,,,,,,5771.25,53.90,7.25,0.15,14379.20,284.13,,503.27,787.40,,,,,,,,,,,
N68,15,AEC,1,18-Sep,Pre-assess,,,,,,,,,,,,,,16:30,QS-B,,2.0,,,Richland pkg,Richland,,,T,T,T,35,29,0,29,20.3075,53.0916,261.4,11.1,,,,NA,NA,T,25,,,5,1,9,,,,,,,,,,,9.05,3.65,0.025,7.5,0.425,3.625,,,,,,10995.75,53.90,7.50,0.43,12122.00,1219.70,,1515.25,2734.95,,,,,,,,,,,
D3,16,Apiguard_Api,1,18-Sep,Pre-assess,,,,,,,,,,,,,,16:15,QS-P,,2.0,,,Richland pkg,Richland,,,T,T,T,34,36,1,37,21.7063,63.0765,290.6,12.7,,,,39,50,T,70,,,3,0,3,,,,,,,,,,,5.575,2.325,0.175,6.975,1.175,2.15,,,,,,6773.63,377.30,6.98,1.18,7189.60,862.46,294.29,2516.36,3673.12,,,,,,,,,,,
2,17,Apiguard_Api,1,19-Sep,Pre-assess,,,,,,,,,,,,,,8:10,QS-MB,,4.0,,,Christian Control,Bee Lab,,,T,T,T,BL 2,9,1,10,15.6747,62.1218,396.3,2.5,,,,NA,NA,T,2,2,160,5,0,2,,,,,,,,,,,9.325,4.725,0.15,11.75,2.35,4.575,,,,,,11329.88,323.40,11.75,2.35,15298.80,285.88,,152.99,438.87,,,,,,,,,,,
D17,18,Apiguard_Api,1,18-Sep,Pre-assess,,,,,,,,,,,,,,15:54,QR,,2,,,Richland pkg,Richland,,,T,T,T,32,11,0,11,18.9776,66.6172,351.0,3.1,23-Sep,,,NA,NA,T,10,,,2,1,0,,,,,,,,,,,13.55,8.35,0,8.1,1.05,8.35,,,,,,16463.25,0.00,8.10,1.05,27922.40,515.90,,1396.12,1912.02,,,,,,,,,,,
D19,19,Apiguard_Api,1,18-Sep,Pre-assess,,,,,,,,,,,,,,15:45,QS-MP,,2,,,Richland pkg,Richland,,,T,T,T,31,37,2,39,15.8652,56.476,356.0,11.0,23-Sep,,,NA,NA,T,30,,,4,1,2,,,,,,,,,,,9.775,6.1,0.05,9.025,0.25,6.05,,,,,,11876.63,107.80,9.03,0.25,20231.20,1301.19,,3034.68,4335.87,,,,,,,,,,,
8,20,Apiguard_Api,1,19-Sep,Pre-assess,,,,,,,,,,,,,,,QR,,3.0,,,Christian OA,Bee Lab,22-Sep,,T,T,T,BLT 8,27,1,28,20.2984,62.4097,307.5,9.1,23-Sep,,,NA,NA,T,8,,,0,0,0,,,,,,,,,,,9.825,7.175,0,11.3,NA,7.175,,,,-1.2,,11937.38,0.00,10.10,NA,23993.20,1087.12,,959.73,2046.85,,,,,,,,,,,
L75,21,Apiguard_Api,1,19-Sep,Pre-assess,,,,,,,,,,,,,,8:45,QS-B,,3.0,,,Christian Control,Bee Lab,,,T,T,T,BL L75,31,0,31,17.4355,71.9223,412.5,7.5,,,,NA,NA,T,18,,,0,1,0,,,,,,,,,,,9.6,4.675,0.025,12.8,1.8,4.65,,,,,,11664.00,53.90,12.80,1.80,15549.60,876.56,,1399.46,2276.02,,,,,,,,,,,
D21,22,Apivar,1,18-Sep,Pre-assess,,,,,,,,,,,,,,13:53,QR,,3.5,,,Richland pkg,Richland,,,T,T,T,22,9,0,9,18.8025,64.61083,343.6,2.6,,,,NA,NA,T,11,,,0,1,0,,,,,,,,,,,11,6.9,0.075,7.35,0.425,6.825,,,,,,13365.00,161.70,7.35,0.43,22822.80,350.04,,1255.25,1605.30,,,,,,,,,,,
D22,23,AEC,1,18-Sep,Pre-assess,,,,,,,,,,,,,,14:06,QR,,2,,,Richland pkg,Richland,,,T,T,T,23,71,2,73,20.8757,65.4778,313.7,23.3,,,,37,50,T,46,,,2,1,3,,,,,,,,,,,4.915,4.95,0.1,9.4,0.85,4.85,,,,,,5971.73,215.60,9.40,0.85,16218.40,1389.86,159.54,3730.23,5279.63,,,,,,,,,,,
D23,24,AEC,1,18-Sep,Pre-assess,,,,,,,,,,,,,,14:19,QS-B,,2,,,Richland pkg,Richland,,,T,T,T,24,75,1,76,18.6742,58.7265,314.5,24.2,,,,NA,NA,T,36,,,4,1,0,,,,,,,,,,,4.25,4.55,0.025,9.25,0.825,4.525,,,,,,5163.75,53.90,9.25,0.83,15131.60,1247.92,,2723.69,3971.61,,,,,,,,,,,
C12,25,Apiguard_Api,1,19-Sep,Pre-assess,,,,,,,,,,,,,,9:00,QS-P,,2.0,,Empty upstairs,Christian Control,Bee Lab,,,T,T,T,BL C12,26,0,26,18.729,53.6641,286.5,9.1,,,,NA,NA,T,44,,,1,1,1,,,,,,,,,,,8.25,6.025,0,5.575,1.075,6.025,,,,,,10023.75,0.00,5.58,1.08,20147.60,909.57,,4432.47,5342.04,,,,,,,,,,,
D24,26,Apiguard_Api,1,18-Sep,Pre-assess,,,,,,,,,,,,,,14:57,QS-B,,2.5,,,Richland pkg,Richland,,,T,T,T,25,56,2,58,20.2293,65.5706,324.1,17.9,23-Sep,,,NA,NA,T,34,,,0,1,0,,,,,,,,,,,6.9,5.55,0.125,6.3,0.6,5.425,,,,,,8383.50,269.50,6.30,0.60,18141.20,1500.12,,3084.00,4584.12,,,,,,,,,,,
D12,27,AEC,1,18-Sep,Pre-assess,,,,,,,,,,,,,,14:45,QS-B,,2.75,,,Richland pkg,Richland,,,T,T,T,26,70,0,70,18.5655,64.9027,349.6,20.0,,,,7,50,T,43,,,8,1,0,,,,,,,,,,,5.125,5.725,0.225,11.85,2.4,5.5,,,,,,6226.88,485.10,11.85,2.40,18392.00,1246.84,67.91,3954.28,5269.04,,,,,,,,,,,
D33,28,AEC,1,18-Sep,Pre-assess,,,,,,,,,,,,,,14:32,QS-B,,1.5,,,Richland pkg,Richland,,,T,T,T,27,59,0,59,19.0401,55.5721,291.9,20.2,,,,NA,NA,T,71,,,5,1,1,,,,,,,,,,,4.4,3.95,0.025,10.85,0.95,3.925,,,,,,5346.00,53.90,10.85,0.95,13125.20,1080.67,,4659.45,5740.12,,,,,,,,,,,
D27,29,Apiguard_Api,1,18-Sep,Pre-assess,,,,,,,,,,,,,,10:05,QS-B,,3.5,,,Richland pkg,Richland,,,T,T,T,7,53,1,54,21.0773,55.4914,263.3,20.5,,,,24,50,T,59,,,11,1,1,,,,,,,,,,,12.05,5.925,0.425,3.625,0.75,5.5,,,,1.3,-0.2,14640.75,916.30,4.93,0.55,18392.00,3002.94,439.82,5425.64,8868.40,,,,,,,,,,,
D28,30,Apiguard_Api,1,18-Sep,Pre-assess,,,,,,,,,,,,,,10:15,QS-B,,3.5,,Defensive,Richland pkg,Richland,,,T,T,T,8,51,0,51,20.162,66.3358,329.0,15.5,,,,40,50,T,39,,,1,1,2,,,,,,,,,,,11.05,5.525,0.325,7.45,0.9,5.2,,,,,,13425.75,700.70,7.45,0.90,17388.80,2081.11,560.56,3390.82,6032.48,,,,,,,,,,,
D30,31,AEC,1,18-Sep,Pre-assess,,,,,,,,,,,,,,10:46,QS-B,,2.5,,Viral vial died before going into dry ice. Iced before end of next hive though,Richland pkg,Richland,,,T,T,T,10,15,0,15,20.8407,64.3862,308.9,4.9,,,,26,50,T,16,,,0,1,0,,,,,,,,,,,13.74,6.15,0.125,5.625,0.25,6.025,,,,,,16694.10,269.50,5.63,0.25,20147.60,810.54,140.14,1611.81,2562.49,,,,,,,,,,,
C33,32,Apivar,1,19-Sep,Pre-assess,,,,,,,,,,,,,,10:00,QS-P,,2.5,,"""Queen cells - cut""",Christian Control,Bee Lab,,,T,T,T,BL C33,65,1,66,16.4935,54.9596,333.2,19.8,23-Sep,,,25,30,T,85,,,0,1,0,,,,,,,,,,,10.55,2.675,0.05,10.5,1.9,2.625,,,,,,12818.25,107.80,10.50,1.90,8778.00,2538.88,89.83,3730.65,6359.36,,,,,,,,,,,
C6,33,Apiguard_Api,1,19-Sep,Pre-assess,,,,,,,,,,,,,,11:35,QR,,2.0,,,Christian Control,Bee Lab,,,T,T,T,BL C6,82,2,84,16.4362,57.0758,347.3,24.2,,,,NA,NA,T,42,,,3,1,0,,,,,,,,,,,7.15,5.075,0.05,8.05,0.675,5.025,,,,,,8687.25,107.80,8.05,0.68,16803.60,2101.41,,3528.76,5630.17,,,,,,,,,,,
BC15,34,Apivar,1,19-Sep,Pre-assess,,,,,,,,,,,,,,9:45,QR,,3.0,,,Christian Control,Bee Lab,,,T,T,T,BL BC15,50,1,51,17.4452,53.0224,303.9,16.8,,,,NA,NA,T,68,,,1,1,2,,,,,,,,,,,10.7,5.7,0.15,11.55,2.65,5.55,,,,,,13000.50,323.40,11.55,2.65,18559.20,2181.46,,6310.13,8491.59,,,,,,,,,,,
N42,35,AEC,1,19-Sep,Pre-assess,,,,,,,,,,,,,,9:28,QR,,2.5,,,Christian Control,Bee Lab,,,T,T,T,BL N42,56,0,56,16.8541,69.0004,409.4,13.7,23-Sep,,,NA,NA,T,57,,,0,1,0,,,,,,,,,,,11.275,4.475,0.025,10.575,0.425,4.45,,,,,,13699.13,53.90,10.58,0.43,14880.80,1873.85,,4241.03,6114.88,,,,,,,,,,,
D26,36,AEC,1,18-Sep,Pre-assess,,,,,,,,,,,,,,11:20,QS-B,,2.5,,,Richland pkg,Richland,,,T,T,T,12,38,0,38,19.4,60.0745,309.7,12.3,,,,17,50,T,20,,,7,0,5,,,,,,,,,,,8.55,6.625,0.025,5.3,0.25,6.6,,,,,,10388.25,53.90,5.30,0.25,22070.40,1274.79,18.33,2207.04,3500.15,,,,,,,,,,,
L76,37,Apivar,1,18-Sep,Pre-assess,,,,,,,,,,,,,,11:38,QR,,3,,,Richland pkg,Richland,,,T,T,T,13,22,0,22,20.1167,75.5282,375.5,5.9,,,,17,50,T,3,2,36,4,1,3,,,,,,,,,,,11.75,7.05,0.15,6.05,1.85,6.9,,,,,,14276.25,323.40,6.05,1.85,23073.60,836.54,109.96,346.10,1292.60,,,,,,,,,,,
62,38,Apivar,1,18-Sep,Pre-assess,,,,,,,,,,,,,,11:50,QS-B,,2.0,,Has EFB but possibly we may use the colony,Richland pkg,Richland,,,T,T,T,38,5,0,5,17.3032,47.5336,274.7,1.8,,EFB,,NA,NA,T,27.0,,,1,0,3,,,,,,,,,,,8.6,3,0,8.05,0.5,3,,,,,,10449.00,0.00,8.05,0.50,10032.00,190.18,,1354.32,1544.50,,,,,,,,,,,
N22,39,Apivar,1,18-Sep,Pre-assess,,,,,,,,,,,,,,15:35,QR,,3,,,Richland pkg,Richland,,,T,T,T,30,47,0,47,18.7333,65.0604,347.3,13.5,23-Sep,,,23,50,T,28,,,1,0,3,,,,,,,,,,,4.875,3.85,0.125,9.65,0.25,3.725,,,,,,5923.13,269.50,9.65,0.25,12456.40,801.58,123.97,1743.90,2669.44,,,,,,,,,,,
L79,40,AEC,1,18-Sep,Pre-assess,,,,,,,,,,,,,,15:22,QR,,3,,,Richland pkg,Richland,,,T,T,T,29,20,0,20,20.1966,61.5277,304.6,6.6,23-Sep,,,NA,NA,T,15,,,6,1,0,,,,,,,,,,,8.25,7.175,0.05,5.3,0.925,7.125,,,,,,10023.75,107.80,5.30,0.93,23826.00,658.06,,1786.95,2445.01,,,,,,,,,,,
4,41,AEC,1,18-Sep,Pre-assess,,,,,,,,,,,,,,15:10,QR,,2.5,,,Richland pkg,Richland,,,T,T,T,28,20,0,20,19.2997,65.0283,336.9,5.9,,,,18,30,T,29,,,6,1,4,,,,,,,,,,,7.5,5.075,0.125,9.425,0.7,4.95,,,,,,9112.50,269.50,9.43,0.70,16552.80,540.90,161.70,2400.16,3102.75,,,,,,,,,,,
S1,42,Apiguard_Api,1,19-Sep,Pre-assess,,,,,,,,,,,,,,,QS,,3.5,,,Christian OA,Bee Lab,22-Sep,,T,T,T,BLT S1,21,0,21,19.0747,56.5,296.1,7.1,23-Sep,,,NA,NA,T,17,,,1,1,0,,,,,,,,,,,6.9,4.85,0,9,NA,4.85,,,,-0.8,,8383.50,0.00,8.20,NA,16218.40,594.56,,1378.56,1973.12,,,,,,,,,,,
17,43,Apivar,1,19-Sep,Pre-assess,,,,,,,,,,,,,,,QR,,2,,,Christian OA,Bee Lab,22-Sep,,T,T,T,BLT 17,19,0,19,17.9945,50.6229,281.3,6.8,23-Sep,,,NA,NA,T,20,,,0,0,0,,,,,,,,,,,6.3,4.275,0,4.45,NA,4.275,,,,2,,7654.50,0.00,6.45,NA,14295.60,516.97,,1429.56,1946.53,,,,,,,,,,,
C8,44,Apiguard_Api,1,19-Sep,Pre-assess,,,,,,,,,,,,,,,QR,,2.5,,,Christian OA,Bee Lab,22-Sep,,T,T,T,BLT C8,29,0,29,19.8407,59.6416,300.6,9.6,23-Sep,,,NA,NA,T,50,,,1,1,0,,,,,,,,,,,7.6,3.075,0,14.05,NA,3.075,,,,-1,,9234.00,0.00,13.05,NA,10282.80,890.83,,2570.70,3461.53,,,,,,,,,,,
C2,45,AEC,1,19-Sep,Pre-assess,,,,,,,,,,,,,,,QS-MP,,2.5,,,Christian OA,Bee Lab,22-Sep,,T,T,T,BLT C2,13,0,13,18.7987,60.0953,319.7,4.1,23-Sep,,,NA,NA,T,13,,,0,0,0,,,,,,,,,,,16.1,5.325,0,6.25,NA,5.325,,,,,,19561.50,0.00,6.25,NA,17806.80,795.49,,1157.44,1952.93,,,,,,,,,,,
N51,46,AEC,1,19-Sep,Pre-assess,,,,,,,,,,,,,,,QR,,3.5,,,Christian OA,Bee Lab,22-Sep,,T,T,T,BLT N51,14,0,14,15.9919,40.9368,256.0,5.5,23-Sep,,,NA,NA,T,32,,,1,1,0,,,,,,,,,,,9.95,6.1,0.225,13.65,NA,5.875,,,,-0.9,,12089.25,485.10,12.75,NA,19646.00,661.17,,3143.36,3804.53,,,,,,,,,,,
C15,47,Apivar,1,19-Sep,Pre-assess,,,,,,,,,,,,,,,QS,,2.5,,,Christian OA,Bee Lab,22-Sep,,T,T,T,BLT C15,51,2,53,18.6469,59.0389,316.6,16.7,23-Sep,,,NA,NA,T,12,,,0,0,0,,,,,,,,,,,4.375,3.625,0,6.35,NA,3.625,,,,,,5315.63,0.00,6.35,NA,12122.00,889.81,,727.32,1617.13,,,,,,,,,,,
D10,1,Apiguard_Api,2,23-Sep,Q check Install HOBO and treat,,,,,1,,,,,,,,,13:35,QR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
D20,2,Apivar,2,23-Sep,Q check Install HOBO and treat,,,,,2,,,,,,,,,13:40,QR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
D15,3,AEC,2,23-Sep,Q check Install HOBO,,,,,3,,,,,,,,,13:43,QS-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
D16,4,AEC,2,23-Sep,Q check ,,,,,,,,,,,,,,13:45,QR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
D5,5,Apivar,2,23-Sep,Q check Install HOBO and treat,,,,,4,,,,,,,,,13:48,QR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
D6,6,Apiguard_Api,2,23-Sep,Q check Install HOBO and treat,,,,,5,,,,,,,,,13:55,QR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
9,7,Apivar,2,23-Sep,Q check treat,,,,,,,,,,,,,,14:00,QR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
D7,8,Apivar,2,23-Sep,Q check treat,,,,,,,,,,,,,,14:03,QR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
D8,9,Apivar,2,23-Sep,Q check treat,,,,,,,,,,,,,,14:04,QS-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
RC1,10,Apivar,2,23-Sep,Q check treat,,,,,,,,,,,,,,14:09,QL,QL since 9/19. On 9/23 RQ-B. New Q released 9/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
D11,11,Apivar,2,23-Sep,Q check Install HOBO and treat,,,,,6,,,,,,,,,14:12,QR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
D25,12,Apivar,2,23-Sep,Q check Install HOBO and treat,,,,,7,,,,,,,,,14:20,QR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
D13,13,Apiguard_Api,2,23-Sep,Q check Install HOBO and treat,,,,,8,,,,,,,,,14:30,QR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
N5,14,AEC,2,23-Sep,Q check Install HOBO,,,,,9,,,,,,,,,14:34,QR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
